Data,Acquisti MWh,Vendite MWh,€/MWh
01/01/2022,"4.331,27","1.811,57","170,28"
01/01/2022,"3.983,88","1.367,67","155,72"
01/01/2022,"3.704,99","1.334,19","147,09"
01/01/2022,"3.540,21","1.208,40",91
01/01/2022,"3.471,48","1.162,80",104
01/01/2022,"3.551,48","1.151,07","140,6"
01/01/2022,"3.732,87","1.096,73","147,09"
01/01/2022,"3.900,10","1.183,20","99,99"
01/01/2022,"4.049,64","1.291,63","67,99"
01/01/2022,"4.444,48","1.598,37",95
01/01/2022,"4.745,58","1.885,76","135,8"
01/01/2022,"4.959,48","2.072,41","150,7"
01/01/2022,"5.176,50","1.940,94","155,72"
01/01/2022,"4.965,01","1.891,83","147,09"
01/01/2022,"4.666,75","1.566,54",100
01/01/2022,"4.659,10","1.410,10",155
01/01/2022,"4.836,68","1.450,44","169,78"
01/01/2022,"5.329,47","1.800,85","203,1"
01/01/2022,"5.523,48","1.932,42","205,83"
01/01/2022,"5.735,59","2.149,78","214,66"
01/01/2022,"5.720,37","2.132,61","214,66"
01/01/2022,"5.415,30","1.693,48",203
01/01/2022,"5.031,81","1.539,19",180
01/01/2022,"4.556,48","1.036,13","162,44"
02/01/2022,"4.240,76","1.005,68","155,72"
02/01/2022,"3.874,18","914,22","142,85"
02/01/2022,"3.606,03","844,11","140,6"
02/01/2022,"3.483,06","813,34",100
02/01/2022,"3.441,28","822,82","140,6"
02/01/2022,"3.553,35","841,63","141,93"
02/01/2022,"3.833,15","910,91","147,09"
02/01/2022,"4.123,26","979,6","155,72"
02/01/2022,"4.407,82","1.236,22","152,59"
02/01/2022,"4.848,03","1.615,91","155,72"
02/01/2022,"5.102,20","1.961,69","167,98"
02/01/2022,"5.258,69","2.602,12","175,08"
02/01/2022,"5.392,27","2.546,92","189,58"
02/01/2022,"5.193,84","2.243,72","169,69"
02/01/2022,"5.007,14","1.913,44","155,72"
02/01/2022,"5.079,47","1.754,07","167,75"
02/01/2022,"5.248,01","2.498,13","194,21"
02/01/2022,"5.714,72","2.954,75",245
02/01/2022,"5.934,76","3.013,41","225,19"
02/01/2022,"6.100,42","3.043,78","216,29"
02/01/2022,"5.944,45","2.979,90","199,64"
02/01/2022,"5.627,05","2.695,82","178,41"
02/01/2022,"5.194,48","1.764,75","154,44"
02/01/2022,"4.676,35","1.693,66","144,79"
03/01/2022,"4.230,64","1.744,11",127
03/01/2022,"3.905,42","1.608,72",127
03/01/2022,"3.716,71","1.537,06","84,62"
03/01/2022,"3.656,03","1.504,27","83,27"
03/01/2022,"3.688,88","1.486,35",85
03/01/2022,"3.963,03","1.475,28","84,5"
03/01/2022,"4.696,22","1.727,37","164,46"
03/01/2022,"5.529,97","2.721,83","202,03"
03/01/2022,"6.189,00","2.985,76",212
03/01/2022,"6.664,65","3.388,56",232
03/01/2022,"6.752,59","3.672,51","239,51"
03/01/2022,"6.777,32","3.887,28","212,22"
03/01/2022,"6.788,67","3.728,95","202,03"
03/01/2022,"6.657,21","3.564,54","199,89"
03/01/2022,"6.701,71","3.516,40","207,16"
